Result,When?,Note
Run,6/12/2018 7:36,
Not Run,6/12/2018 8:02:50 AM,
Not Run,6/12/2018 8:05:29 AM,
Not Run,6/12/2018 8:15:28 AM,
Not Run,6/12/2018 8:20:28 AM,
Not Run,6/12/2018 8:25:28 AM,
Not Run,6/12/2018 8:30:28 AM,
Not Run,6/12/2018 8:35:28 AM,
Not Run,6/12/2018 8:40:28 AM,
Not Run,6/12/2018 8:45:28 AM,
Not Run,6/12/2018 8:50:28 AM,
Not Run,6/12/2018 8:55:28 AM,
Not Run,6/12/2018 9:00:28 AM,
Not Run,6/12/2018 9:05:28 AM,
Not Run,6/12/2018 9:10:28 AM,
Not Run,6/12/2018 9:15:28 AM,
Not Run,6/12/2018 9:20:28 AM,
Not Run,6/12/2018 9:25:28 AM,
Not Run,6/12/2018 9:30:28 AM,
Not Run,6/12/2018 9:35:28 AM,
Not Run,6/12/2018 9:40:28 AM,
Run,6/12/2018 9:45:28 AM,
Not Run,6/12/2018 9:50:28 AM,
Not Run,6/12/2018 9:55:28 AM,
Not Run,6/12/2018 10:00:28 AM,
Not Run,6/12/2018 10:05:28 AM,
Not Run,6/12/2018 10:10:28 AM,
Not Run,6/12/2018 10:15:28 AM,
Run,6/12/2018 10:20:28 AM,
Not Run,6/12/2018 10:25:28 AM,
Run,6/12/2018 10:30:28 AM,
Not Run,6/12/2018 10:35:28 AM,
Not Run,6/12/2018 10:40:28 AM,
Not Run,6/12/2018 10:41:22 AM,
Run,6/12/2018 10:41:56 AM,
Not Run,6/12/2018 10:45:28 AM,
Run,6/12/2018 10:50:28 AM,
Run,6/12/2018 10:52:31 AM,
Not Run,6/12/2018 10:55:28 AM,
Not Run,6/12/2018 11:00:28 AM,
Not Run,6/12/2018 11:05:28 AM,
Not Run,6/12/2018 11:10:28 AM,
Not Run,6/12/2018 11:15:28 AM,
Not Run,6/12/2018 11:20:28 AM,
Not Run,6/12/2018 11:25:28 AM,
Not Run,6/12/2018 11:30:28 AM,
Not Run,6/12/2018 11:35:28 AM,
Not Run,6/12/2018 11:40:28 AM,
Not Run,6/12/2018 11:45:28 AM,
Not Run,6/12/2018 11:50:28 AM,
Not Run,6/12/2018 11:55:28 AM,
Not Run,6/12/2018 12:00:28 PM,
Not Run,6/12/2018 12:05:28 PM,
Not Run,6/12/2018 12:10:28 PM,
Not Run,6/12/2018 12:15:28 PM,
Not Run,6/12/2018 12:20:28 PM,
Not Run,6/12/2018 12:25:28 PM,
Not Run,6/12/2018 12:30:28 PM,
Not Run,6/12/2018 12:35:28 PM,
Not Run,6/12/2018 12:40:28 PM,
Not Run,6/12/2018 12:45:28 PM,
Not Run,6/12/2018 12:50:28 PM,
Not Run,6/12/2018 12:55:28 PM,
